108	NONRIGID	3	62	4.062e+26	[1/6, 4/35, 25/2, 99/5, 28/33]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:irr
109	NONRIGID	3	49	1.958e+04	[1/6, 4/35, 25/2, 99/5, 7/11, 5/3]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
110	NONRIGID	3	55	4.333e+04	[1/6, 4/35, 55/2, 3/5, 12005/33]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:irr
111	NONRIGID	3	69	1.981e+29	[1/6, 4/35, 55/2, 3/5, 4802/33]	L:georec(2, 17) v2:const0 v3:const0 v5:georec(2, 3) v7:const0 v11:irr
112	NONRIGID	3	62	4.062e+26	[1/6, 4/385, 25/2, 63/5, 44/3]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
113	NONRIGID	3	67	4.446e+04	[1/6, 5/2, 16/385, 21/5, 44/3]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
114	NONRIGID	3	67	8.046e+04	[1/6, 625/2, 2/385, 21/5, 44/3]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
115	NONRIGID	4	41	1.376e+04	[1/6, 9/35, 11/5, 25/3, 28/11, 5/2]	L:irr v2:const0 v3:const0 v5:const0 v7:const0 v11:irr
116	NONRIGID	3	49	1.932e+04	[1/6, 9/35, 25/3, 11/5, 28/11, 5/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
117	NONRIGID	3	49	1.932e+04	[1/6, 9/35, 25/3, 22/5, 14/11, 5/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
118	NONRIGID	3	49	1.932e+04	[1/6, 9/35, 25/3, 44/5, 7/11, 5/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
119	NONRIGID	3	62	3.046e+26	[1/6, 9/385, 25/3, 28/5, 99/2]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
120	NONRIGID	3	56	7.299e+36	[1/6, 99/35, 275/3, 2/55, 147/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:irr
121	NONRIGID	3	52	8.087e+23	[1/60, 9/14, 22/3, 5/2, 7/11, 3/5]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:irr
122	NONRIGID	3	50	2.072e+13	[1/90, 15/77, 49/5, 2/7, 6655/2]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:const0
123	NONRIGID	3	43	1.299e+04	[1/90, 21/2, 8/77, 15/7, 22/3]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:const0
124	NONRIGID	3	51	1.062e+24	[1/90, 25/21, 33/5, 2/3, 7/11, 5/2]	L:irr v2:irr v3:irr v5:const0 v7:const0 v11:irr
125	NONRIGID	3	51	1.062e+24	[1/90, 4/21, 33/2, 5/3, 7/11, 2/5]	L:irr v2:const0 v3:irr v5:irr v7:const0 v11:irr
126	NONRIGID	3	50	1.507e+13	[1/90, 6/77, 49/2, 5/7, 2662/5]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:const0
127	NONRIGID	3	44	1.345e+04	[1/90, 8/77, 21/2, 15/7, 22/3]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:const0
128	NONRIGID	4	35	2.767e+11	[1/945, 2/15, 63/2, 125/7, 3/5]	L:irr v2:const0 v3:const0 v5:irr v7:const0
129	NONRIGID	3	43	8.455e+18	[100/63, 7/22, 27/2, 11/5, 7/3]	L:georec(2, 4) v2:const0 v3:irr v5:georec(2, 2) v7:const0 v11:const0
130	NONRIGID	4	6	2.283e+04	[11/105, 10/3, 27/22, 49/2, 6/7]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:irr
131	NONRIGID	3	38	1.054e+08	[11/105, 10/3, 9/22, 343/2, 6/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
132	NONRIGID	3	39	6.808e+10	[11/105, 2/3, 45/22, 49/2, 66/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
133	NONRIGID	3	66	4.820e+04	[11/105, 20/3, 3/22, 7/2, 495/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
134	NONRIGID	3	66	4.820e+04	[11/105, 20/3, 3/22, 7/2, 99/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
135	NONRIGID	3	60	1.774e+39	[11/105, 225/22, 4/3, 7/2, 33/7]	L:georec(3, 8) v2:georec(3, 2) v3:const0 v5:irr v7:const0 v11:const0
136	NONRIGID	3	44	2.293e+04	[11/105, 3/22, 20/3, 7/2, 726/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
137	NONRIGID	3	62	3.578e+26	[11/105, 3/22, 625/11, 14/5, 121/2]	L:irr v2:const0 v3:const0 v5:irr v7:irr v11:const0
138	NONRIGID	3	66	4.820e+04	[11/105, 36/5, 5/22, 7/2, 275/7]	L:irr v2:irr v3:irr v5:const0 v7:const0 v11:const0
139	NONRIGID	3	67	6.114e+04	[11/105, 4/3, 15/22, 7/2, 297/7]	L:irr v2:irr v3:const0 v5:quad1 v7:const0 v11:const0
140	NONRIGID	3	61	1.197e+40	[11/105, 4/3, 225/22, 7/2, 33/7]	L:georec(3, 8) v2:georec(3, 2) v3:const0 v5:irr v7:const0 v11:const0
141	NONRIGID	3	67	4.820e+04	[11/105, 4/3, 75/22, 7/2, 99/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
