# NOTE: PARTIAL RUN -- see bbf/README.md; sweep was still in progress at commit time
  line  2287  DECIDED  n>=0  1 branch(es)  [1/45, 343/3, 15/77, 2/7, 1089/2]
  line  2288  DECIDED  n>=0  1 branch(es)  [1/45, 343/3, 75/77, 2/7, 99/2]
  line  2344  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 15/14, 11/2, 441/11]
  line  2345  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 15/14, 121/2, 441/11]
  line  2346  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 15/14, 605/2, 63/11]
  line  2347  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 75/14, 121/2, 63/11]
  line  2348  DECIDED  n>=1  1 branch(es)  [1/45, 4/3, 825/14, 11/2, 63/11]
  line  2375  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 15/77, 2/7, 1089/2]
  line  2377  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 15/77, 20/7, 99/2]
  line  2378  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 15/77, 4/7, 1089/2]
  line  2379  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 150/77, 2/7, 99/2]
  line  2380  DECIDED  n>=0  1 branch(es)  [1/45, 49/3, 75/77, 4/7, 99/2]
  line  2473  DECIDED  n>=1  1 branch(es)  [1/45, 8/3, 15/14, 11/2, 441/11]
  line  2474  DECIDED  n>=1  1 branch(es)  [1/45, 8/3, 75/14, 11/2, 63/11]
  line  2497  DECIDED  n>=0  1 branch(es)  [1/45, 98/3, 75/77, 2/7, 99/2]
  line  2500  DECIDED  n>=0  1 branch(es)  [1/45, 98/5, 125/539, 3/7, 55/2]
    ... 2500/21233 scanned, 158 decided, 1688s
  line  2504  DECIDED  n>=0  1 branch(es)  [1/45, 98/5, 25/539, 3/7, 605/2]
  line  2598  DECIDED  n>=1  1 branch(es)  [1/6, 125/2, 22/35, 99/25, 14/11]
  line  2686  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 1375/2, 3/25, 1715/11]
  line  2688  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 1375/2, 3/25, 98/11]
  line  2690  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 1375/2, 99/25, 14/11]
  line  2691  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 15125/2, 9/25, 14/11]
  line  2692  DECIDED  n>=2  2 branch(es)  [1/6, 2/35, 15125/2, 9/55, 14/3]
  line  2706  DECIDED  n>=2  1 branch(es)  [1/6, 2/35, 275/2, 81/55, 14/3]
  line  2707  DECIDED  n>=2  1 branch(es)  [1/6, 2/35, 275/2, 9/55, 1715/3]
  line  2709  DECIDED  n>=2  1 branch(es)  [1/6, 2/35, 275/2, 9/55, 98/3]
  line  2738  DECIDED  n>=2  2 branch(es)  [1/6, 22/35, 125/2, 99/25, 14/11]
  line  2741  DECIDED  n>=2  2 branch(es)  [1/6, 22/35, 1375/2, 9/25, 14/11]
  line  2805  DECIDED  n>=1  2 branch(es)  [1/6, 3/35, 15125/3, 4/55, 21/2]
  line  2810  DECIDED  n>=1  1 branch(es)  [1/6, 3/35, 275/3, 16/55, 21/2]
  line  2822  DECIDED  n>=0  1 branch(es)  [1/6, 3/35, 275/3, 4/55, 147/2]
  line  2823  DECIDED  n>=1  1 branch(es)  [1/6, 3/35, 275/3, 4/55, 1715/2]
  line  2880  DECIDED  n>=1  1 branch(es)  [1/6, 35/2, 4/55, 3/5, 29282/21]
  line  2976  DECIDED  n>=1  1 branch(es)  [1/6, 4/35, 55/2, 3/5, 4802/33]
  line  3044  DECIDED  n>=1  1 branch(es)  [1/6, 6125/2, 2/55, 9/25, 22/7]
  line  3089  DECIDED  n>=1  1 branch(es)  [1/6, 875/2, 14/55, 9/25, 22/7]
  line  3090  DECIDED  n>=2  1 branch(es)  [1/6, 875/2, 2/55, 3/25, 242/7]
  line  3092  DECIDED  n>=2  1 branch(es)  [1/6, 875/2, 2/55, 3/25, 6655/7]
  line  3093  DECIDED  n>=1  1 branch(es)  [1/6, 875/2, 2/55, 63/25, 22/7]
  line  3122  DECIDED  n>=1  1 branch(es)  [1/60, 14/3, 27/77, 10/7, 33/2]
  line  3124  DECIDED  n>=0  1 branch(es)  [1/60, 14/3, 9/77, 10/7, 363/2]
  line  3131  DECIDED  n>=0  1 branch(es)  [1/60, 27/77, 28/3, 5/7, 33/2]
  line  3132  DECIDED  n>=0  1 branch(es)  [1/60, 28/3, 27/77, 5/7, 33/2]
  line  3137  DECIDED  n>=2  1 branch(es)  [1/60, 4/77, 21/2, 5/7, 484/3]
  line  3138  DECIDED  n>=2  1 branch(es)  [1/60, 4/77, 21/2, 5/7, 9317/3]
  line  3139  DECIDED  n>=2  1 branch(es)  [1/60, 45/77, 49/3, 2/7, 363/2]
  line  3140  DECIDED  n>=2  1 branch(es)  [1/60, 49/3, 45/77, 2/7, 363/2]
  line  3143  DECIDED  n>=0  1 branch(es)  [1/60, 9/77, 14/3, 10/7, 363/2]
  line  3423  DECIDED  n>=0  1 branch(es)  [1/90, 14/3, 9/77, 5/7, 3993/2]
  line  3430  DECIDED  n>=2  1 branch(es)  [1/90, 20/77, 49/2, 3/7, 242/3]
  line  3431  DECIDED  n>=2  1 branch(es)  [1/90, 21/2, 4/77, 15/7, 242/3]
  line  3446  DECIDED  n>=2  1 branch(es)  [1/90, 4/77, 21/2, 15/7, 242/3]
  line  3448  DECIDED  n>=2  1 branch(es)  [1/90, 49/2, 20/77, 3/7, 242/3]
  line  3454  DECIDED  n>=2  1 branch(es)  [1/90, 63/2, 8/77, 5/7, 22/3]
  line  3460  DECIDED  n>=2  1 branch(es)  [1/90, 8/77, 63/2, 5/7, 22/3]
  line  3462  DECIDED  n>=0  1 branch(es)  [1/90, 9/77, 14/3, 5/7, 3993/2]
  line  3510  DECIDED  n>=0  1 branch(es)  [10/3, 27/175, 121/4, 1/55, 21/2]
  line  3565  DECIDED  n>=0  1 branch(es)  [100/63, 1/55, 18/5, 11/3, 35/2]
  line  3652  DECIDED  n>=3  1 branch(es)  [108/35, 5/33, 7/3, 11/49, 15/2]
  line  3655  DECIDED  n>=3  2 branch(es)  [108/35, 5/66, 49/2, 11/3, 5/7]
  line  3666  DECIDED  n>=0  1 branch(es)  [11/105, 1/33, 300/11, 3/5, 539/2]
  line  3681  DECIDED  n>=2  1 branch(es)  [11/105, 10/3, 9/22, 2401/2, 3/7]
  line  3682  DECIDED  n>=2  1 branch(es)  [11/105, 10/3, 9/22, 343/2, 22/7]
  line  3684  DECIDED  n>=2  1 branch(es)  [11/105, 10/3, 9/22, 343/2, 9/7]
  line  3692  DECIDED  n>=1  1 branch(es)  [11/105, 15/22, 20/3, 35/2, 33/5]
  line  3695  DECIDED  n>=2  1 branch(es)  [11/105, 15/22, 4/3, 35/2, 33/5]
  line  3699  DECIDED  n>=2  1 branch(es)  [11/105, 15/22, 4/3, 49/2, 33/7]
  line  3706  DECIDED  n>=1  1 branch(es)  [11/105, 2/3, 225/22, 35/2, 33/5]
  line  3707  DECIDED  n>=2  1 branch(es)  [11/105, 2/3, 45/22, 343/2, 22/7]
  line  3708  DECIDED  n>=2  1 branch(es)  [11/105, 2/3, 45/22, 343/2, 33/7]
  line  3709  DECIDED  n>=2  1 branch(es)  [11/105, 2/3, 45/22, 49/2, 33/7]
  line  3714  DECIDED  n>=1  1 branch(es)  [11/105, 20/3, 15/22, 35/2, 33/5]
  line  3718  DECIDED  n>=2  1 branch(es)  [11/105, 20/3, 3/22, 49/2, 242/7]
  line  3719  DECIDED  n>=2  1 branch(es)  [11/105, 20/3, 3/22, 49/2, 33/7]
  line  3728  DECIDED  n>=2  1 branch(es)  [11/105, 20/3, 9/44, 49/2, 3/7]
  line  3729  DECIDED  n>=1  1 branch(es)  [11/105, 225/22, 2/3, 35/2, 33/5]
